icao,name,email,phone
AGO,Angola Air Charter,angolaaircharter@email.com,1167
AGP,AERFI Group,aerfigroup@email.com,1168
AGQ,Aerogala,aerogala@email.com,1169
AGT,Amadeus Global Travel Distribution,amadeusglobaltraveldistribution@email.com,1170
AGU,Angara Airlines,angaraairlines@email.com,1171
AGV,Air Glaciers,airglaciers@email.com,1172
AGW,Aero Gambia,aerogambia@email.com,1173
AGX,Aviogenex,aviogenex@email.com,1174
BLR,Atlantic Coast Airlines,atlanticcoastairlines@email.com,1175
BLZ,Aero Barloz,aerobarloz@email.com,1176
PLI,Aeroper,aeroper@email.com,1177
BMM,Atlas Blue,atlasblue@email.com,1178
BNB,Aero Banobras,aerobanobras@email.com,1179
AGY,Aero Flight Service,aeroflightservice@email.com,1180
AGZ,Agrolet-Mci,agrolet-mci@email.com,1181
AHA,Air Alpha Greenland,airalphagreenland@email.com,1182
AHC,Azal Avia Cargo,azalaviacargo@email.com,1183
AHE,Airport Helicopter Basel,airporthelicopterbasel@email.com,1184
CJE,Aeroservices Corporate,aeroservicescorporate@email.com,1185
AHF,Aspen Helicopters,aspenhelicopters@email.com,1186
AHG,Aerochago Airlines,aerochagoairlines@email.com,1187
AHH,Airplanes Holdings,airplanesholdings@email.com,1188
AHK,Air Hong Kong,airhongkong@email.com,1189
AHP,Aerochiapas,aerochiapas@email.com,1190
AHR,Air Adriatic,airadriatic@email.com,1191
AHS,Air Viggi San Raffaele,airviggisanraffaele@email.com,1192
AHU,ABC Air Hungary,abcairhungary@email.com,1193
AHW,Aeromist-Kharkiv,aeromist-kharkiv@email.com,1194
AHY,Azerbaijan Airlines,azerbaijanairlines@email.com,1195
AIA,Avies,avies@email.com,1196
AIB,Airbus Industrie,airbusindustrie@email.com,1197
AIH,Alpine Air Chile,alpineairchile@email.com,1198
AII,Air Integra,airintegra@email.com,1199
AIJ,ABC Aerolineas,abcaerolineas@email.com,1200
AIK,African Airlines International Limited,africanairlinesinternationallimited@email.com,1201
AIN,African International Airways,africaninternationalairways@email.com,1202
AIP,Alpine Air Express,alpineairexpress@email.com,1203
AIU,Alicante Internacional Airlines,alicanteinternacionalairlines@email.com,1204
ABP,Aba Air,abaair@email.com,1205
ABQ,Airblue,airblue@email.com,1206
THM,Airmark Aviation,airmarkaviation@email.com,1207
AIR,Airlift International,airliftinternational@email.com,1208
AIT,Airest,airest@email.com,1209
BFF,Air Baffin,airbaffin@email.com,1210
BDM,Air Bandama,airbandama@email.com,1211
BER,Air Berlin,airberlin@email.com,1212
ABT,Air Brousse,airbrousse@email.com,1213
ABR,ASL Airlines Ireland,aslairlinesireland@email.com,1214
AIL,Air Illinois,airillinois@email.com,1215
AIC,Air India Limited,airindialimited@email.com,1216
AIG,Air Inter Gabon,airintergabon@email.com,1217
BUB,Air Bourbon,airbourbon@email.com,1218
ABD,Air Atlanta Icelandic,airatlantaicelandic@email.com,1219
AIE,Air Inuit,airinuit@email.com,1220
AIS,Air Sureste,airsureste@email.com,1221
SBK,Air Srpska,airsrpska@email.com,1222
THT,Air Tahiti Nui,airtahitinui@email.com,1223
AIV,Airvias S/A Linhas Aereas,airviass/alinhasaereas@email.com,1224
BES,Aero Services Executive,aeroservicesexecutive@email.com,1225
AIW,Atlantic Island Airways,atlanticislandairways@email.com,1226
AIX,Aircruising Australia,aircruisingaustralia@email.com,1227
AIY,Aircrew Check and Training Australia,aircrewcheckandtrainingaustralia@email.com,1228
AIZ,Arkia Israel Airlines,arkiaisraelairlines@email.com,1229
AJA,A J Services,ajservices@email.com,1230
AJB,Aero JBR,aerojbr@email.com,1231
AJE,Aero Jet Express,aerojetexpress@email.com,1232
AJF,Avia Consult Flugbetriebs,aviaconsultflugbetriebs@email.com,1233
AJI,Ameristar Jet Charter,ameristarjetcharter@email.com,1234
AJJ,A2 Jet Leasing,a2jetleasing@email.com,1235
AJK,Allied Air,alliedair@email.com,1236
AJM,Air Jamaica,airjamaica@email.com,1237
ADH,Air One,airone@email.com,1238
RSH,Air Sahara,airsahara@email.com,1239
AMC,Air Malta,airmalta@email.com,1240
AJO,Aeroejecutivo,aeroejecutivo@email.com,1241
AJP,Aero Jets Corporativos,aerojetscorporativos@email.com,1242
AJS,Aeroejecutivos Colombia,aeroejecutivoscolombia@email.com,1243
AJT,Amerijet International,amerijetinternational@email.com,1244
AJU,Air Jetsul,airjetsul@email.com,1245
AJV,ANA & JP Express,ana&jpexpress@email.com,1246
AJW,Alpha Jet International,alphajetinternational@email.com,1247
AJX,Air Japan,airjapan@email.com,1248
AJY,Ajet,ajet@email.com,1249
AKA,Air Korea Co. Ltd.,airkoreaco.ltd.@email.com,1250
LIV,Air Livonia,airlivonia@email.com,1251
ABL,Air BC,airbc@email.com,1252
ABN,Air Fret Senegal,airfretsenegal@email.com,1253
LJA,Air Jamahiriya Company,airjamahiriyacompany@email.com,1254
AKB,Aktjubavia,aktjubavia@email.com,1255
AKC,Arca Aerovias Colombianas Ltda.,arcaaeroviascolombianasltda.@email.com,1256
AKF,Anikay Air Company,anikayaircompany@email.com,1257
AKH,Akhal,akhal@email.com,1258
MNI,Aeromilenio,aeromilenio@email.com,1259
AKK,Aklak Air,aklakair@email.com,1260
AKL,Air Kiribati,airkiribati@email.com,1261
AKN,Alkan Air,alkanair@email.com,1262
AKW,Angkor Airways,angkorairways@email.com,1263
AKX,Air Nippon Network Co. Ltd.,airnipponnetworkco.ltd.@email.com,1264
AKZ,AK Navigator LLC,aknavigatorllc@email.com,1265
ALB,Aero Albatros,aeroalbatros@email.com,1266
ALD,Albion Aviation,albionaviation@email.com,1267
ALE,Aeroalas Colombia,aeroalascolombia@email.com,1268
ALF,Allied Command Europe (Mobile Force),alliedcommandeurope(mobileforce)@email.com,1269
BTS,Aerotaxis Albatros,aerotaxisalbatros@email.com,1270
FYS,American Flyers,americanflyers@email.com,1271
DFA,Aero Coach Aviation,aerocoachaviation@email.com,1272
CAA,Atlantic Southeast Airlines,atlanticsoutheastairlines@email.com,1273
BVR,ACM Air Charter,acmaircharter@email.com,1274
ALG,Air Logistics,airlogistics@email.com,1275
ALL,Aerovallarta,aerovallarta@email.com,1276
ALM,Air ALM,airalm@email.com,1277
ALN,Air Lincoln,airlincoln@email.com,1278
AWE,America West Airlines,americawestairlines@email.com,1279
AWI,Air Wisconsin,airwisconsin@email.com,1280
TNO,Aerotransporte de Carga Union,aerotransportedecargaunion@email.com,1281
TND,Aero Taxis Cessna,aerotaxiscessna@email.com,1282
TMP,Arizona Express Airlines,arizonaexpressairlines@email.com,1283
TAK,Tatarstan Airlines,tatarstanairlines@email.com,1284
ALO,Allegheny Commuter Airlines,alleghenycommuterairlines@email.com,1285
ALP,Alpliner AG,alplinerag@email.com,1286
ALQ,Altair Aviation (1986),altairaviation(1986)@email.com,1287
ALU,Air Luxor STP,airluxorstp@email.com,1288
ALV,Alas de Venezuela,alasdevenezuela@email.com,1289
ALW,Alas Nacionales,alasnacionales@email.com,1290
ALY,Alyeska Air Service,alyeskaairservice@email.com,1291
ALZ,Alta Flights (Charters) Ltd.,altaflights(charters)ltd.@email.com,1292
RSI,Air Sunshine,airsunshine@email.com,1293
AMA,ATMA,atma@email.com,1294
AMD,Aerolineas Medellin,aerolineasmedellin@email.com,1295
AMF,Ameriflight,ameriflight@email.com,1296
,Air Libert,airlibert@email.com,1297
KLA,Air Lithuania,airlithuania@email.com,1298
AMG,Air Minas Linhas A,airminaslinhasa@email.com,1299
AMH,Alan Mann Helicopters Ltd.,alanmannhelicoptersltd.@email.com,1300
AMI,Air Maldives,airmaldives@email.com,1301
AMJ,Aviation Amos,aviationamos@email.com,1302
AMK,Amerer Air,amererair@email.com,1303
AML,Air Malawi,airmalawi@email.com,1304
AMM,Aeroputul International Marculesti,aeroputulinternationalmarculesti@email.com,1305
AMN,Air Montenegro,airmontenegro@email.com,1306
AMO,Air Montreal (Air Holdings Inc.),airmontreal(airholdingsinc.)@email.com,1307
AMP,Aero Transporte S.A. (ATSA),aerotransportes.a.(atsa)@email.com,1308
AMQ,Aeromedicare Ltd.,aeromedicareltd.@email.com,1309
,Air Sicilia,airsicilia@email.com,1310
AMR,Air Specialties Corporation,airspecialtiescorporation@email.com,1311
AMS,Air Muskoka,airmuskoka@email.com,1312
AMT,ATA Airlines,ataairlines@email.com,1313
AMU,Air Macau,airmacau@email.com,1314
AMV,AMC Airlines,amcairlines@email.com,1315
AMW,Air Midwest,airmidwest@email.com,1316
SEY,Air Seychelles,airseychelles@email.com,1317
SFB,Air Sofia,airsofia@email.com,1318
AMX,AeroMéxico,aeroméxico@email.com,1319
AMY,Air Ambar,airambar@email.com,1320
AMZ,Amiya Airline,amiyaairline@email.com,1321
ANA,All Nippon Airways,allnipponairways@email.com,1322
ANB,Air Navigation And Trading Co. Ltd.,airnavigationandtradingco.ltd.@email.com,1323
ANC,Anglo Cargo,anglocargo@email.com,1324
ANE,Air Nostrum,airnostrum@email.com,1325
ANG,Air Niugini,airniugini@email.com,1326
ABY,Air Arabia,airarabia@email.com,1327
ACA,Air Canada,aircanada@email.com,1328
BRP,Airport Bratsk,airportbratsk@email.com,1329
BSB,Air Wings,airwings@email.com,1330
BTI,Air Baltic,airbaltic@email.com,1331
ANH,Alajnihah for Air Transport,alajnihahforairtransport@email.com,1332
ANI,Air Atlantic (Nig) Limited,airatlantic(nig)limited@email.com,1333
ANK,Air Nippon,airnippon@email.com,1334
ANM,Antares Airtransport,antaresairtransport@email.com,1335
ANO,Airnorth,airnorth@email.com,1336
ANQ,Aerol,aerol@email.com,1337
ANS,Andes Lineas Aereas,andeslineasaereas@email.com,1338
ANT,Air North Charter - Canada,airnorthcharter-canada@email.com,1339
ANV,Air Nevada,airnevada@email.com,1340
AOM,AOM French Airlines,aomfrenchairlines@email.com,1341
ANW,Aviacion Del Noroeste,aviaciondelnoroeste@email.com,1342
ANZ,Air New Zealand,airnewzealand@email.com,1343
SAP,Avia Jaynar,aviajaynar@email.com,1344
EMS,Aero Servicios Empresariales,aeroserviciosempresariales@email.com,1345
AOA,Alcon Servicios Aereos,alconserviciosaereos@email.com,1346
AOC,AVCOM,avcom@email.com,1347
AOD,Aero Vodochody,aerovodochody@email.com,1348
AOE,Air One Executive,aironeexecutive@email.com,1349
AOF,Atair Pty Ltd.,atairptyltd.@email.com,1350
AOG,Aero VIP,aerovip@email.com,1351
MUN,Aeromundo Ejecutivo,aeromundoejecutivo@email.com,1352
MUR,Aerolinea Muri,aerolineamuri@email.com,1353
AOI,Astoria,astoria@email.com,1354
NRO,Aero Rent JSC,aerorentjsc@email.com,1355
NRP,Aeronord-Grup,aeronord-grup@email.com,1356
AOK,Aeroatlantico Colombia,aeroatlanticocolombia@email.com,1357
AOL,Angkor Airlines,angkorairlines@email.com,1358
AON,Aero Entreprise,aeroentreprise@email.com,1359
AOO,As,as@email.com,1360
AOP,Aeropiloto,aeropiloto@email.com,1361
VIV,Aeroenlaces Nacionales,aeroenlacesnacionales@email.com,1362
VIZ,Aerovis Airlines,aerovisairlines@email.com,1363
VJE,Avjet International (FZE),avjetinternational(fze)@email.com,1364
VGF,Aerovista Gulf Express,aerovistagulfexpress@email.com,1365
VGA,Air Vegas,airvegas@email.com,1366
VER,Almaver,almaver@email.com,1367
AOR,Afro International Ent. Limited,afrointernationalent.limited@email.com,1368
SMX,Alitalia Express,alitaliaexpress@email.com,1369
AOT,Asia Overnight Express,asiaovernightexpress@email.com,1370
AOU,Air Tractor,airtractor@email.com,1371
AOV,Aero Vision,aerovision@email.com,1372
AOX,Aerotaxi Del Valle,aerotaxidelvalle@email.com,1373
APA,Air Park Aviation Ltd.,airparkaviationltd.@email.com,1374
APC,Airpac Airlines,airpacairlines@email.com,1375
SVM,Aeroservicios Monterrey,aeroserviciosmonterrey@email.com,1376
APF,Amapola Flyg AB,amapolaflygab@email.com,1377
APG,Air People International,airpeopleinternational@email.com,1378
APH,Alpha Aviation,alphaaviation@email.com,1379
API,ASA Pesada,asapesada@email.com,1380
APJ,Air Print,airprint@email.com,1381
BJK,Atlantic Airlines,atlanticairlines@email.com,1382
PET,Aerotransporte Petrolero,aerotransportepetrolero@email.com,1383
ARF,Aero Flight,aeroflight@email.com,1384
BJT,ACM Aviation,acmaviation@email.com,1385
BKL,Aircompany Barcol,aircompanybarcol@email.com,1386
BLA,All Charter Limited,allcharterlimited@email.com,1387
APL,Appalachian Flying Service,appalachianflyingservice@email.com,1388
APM,Airpac,airpac@email.com,1389
APO,Aeropro,aeropro@email.com,1390
APP,Aerolineas Pacifico Atlantico,aerolineaspacificoatlantico@email.com,1391
APQ,Aspen Aviation,aspenaviation@email.com,1392
APU,Aeropuma,aeropuma@email.com,1393
APV,Air Plan International,airplaninternational@email.com,1394
APW,Arrow Air,arrowair@email.com,1395
APX,Apex Air Cargo,apexaircargo@email.com,1396
APY,APA Internacional,apainternacional@email.com,1397
AQA,Aeroatlas,aeroatlas@email.com,1398
AQL,Aquila Air Ltd.,aquilaairltd.@email.com,1399
AQN,Air Queensland,airqueensland@email.com,1400
AQO,Aluminum Company Of America,aluminumcompanyofamerica@email.com,1401
AQT,Aviones de Renta de Quintana Roo,avionesderentadequintanaroo@email.com,1402
AQU,AirQuarius Aviation,airquariusaviation@email.com,1403
AQZ,Aerodyne Charter Company,aerodynechartercompany@email.com,1404
ARA,Arik Air,arikair@email.com,1405
ARB,Avia Air N.V.,aviaairn.v.@email.com,1406
ARC,Air Routing International Corp.,airroutinginternationalcorp.@email.com,1407
ARD,Aerocondor,aerocondor@email.com,1408
ARE,Aires,aires@email.com,1409
ARG,Aerolineas Argentinas,aerolineasargentinas@email.com,1410
ARH,Arrowhead Airways,arrowheadairways@email.com,1411
ARI,Aero Vics,aerovics@email.com,1412
ARJ,Aerojet de Costa Rica,aerojetdecostarica@email.com,1413
SUN,Antillana De Navegacion Aerea,antillanadenavegacionaerea@email.com,1414
SUO,Aeroservicios De San Luis,aeroserviciosdesanluis@email.com,1415
SUP,Aerosuper,aerosuper@email.com,1416
ARK,Aero Link Air Services S.L.,aerolinkairservicess.l.@email.com,1417
ARL,Airlec - Air Aquitaine Transport,airlec-airaquitainetransport@email.com,1418
ARM,Aeromarket Express,aeromarketexpress@email.com,1419
ARO,Arrow Aviation Ltd.,arrowaviationltd.@email.com,1420
ARP,RPA-Aviataxi Ltd.,rpa-aviataxiltd.@email.com,1421
KLD,Air Klaipeda,airklaipeda@email.com,1422
ARQ,Armstrong Air,armstrongair@email.com,1423
ARR,Air Armenia,airarmenia@email.com,1424
ARS,Aeromet Servicios,aerometservicios@email.com,1425
ART,Aerotal Aerolineas Territoriales de Colombia Ltda,aerotalaerolineasterritorialesdecolombialtda@email.com,1426
ARV,Aravco Ltd.,aravcoltd.@email.com,1427
ARW,Aria,aria@email.com,1428
ARX,Air Xpress,airxpress@email.com,1429
OST,Airline Alania,airlinealania@email.com,1430
HTT,Air Tchad,airtchad@email.com,1431
HUC,Aerloineas de Techuacan,aerloineasdetechuacan@email.com,1432
HUT,Aerotransportes Huitzilin,aerotransporteshuitzilin@email.com,1433
HUY,Aero Transportes Del Humaya,aerotransportesdelhumaya@email.com,1434
ARY,Argosy Airways,argosyairways@email.com,1435
ARZ,Air Resorts,airresorts@email.com,1436
ASA,Alaska Airlines,alaskaairlines@email.com,1437
ASB,Air-Spray 1967 Ltd.,air-spray1967ltd.@email.com,1438
ASC,Air Star Corporation,airstarcorporation@email.com,1439
ASD,Air Sinai,airsinai@email.com,1440
ASE,Airstars,airstars@email.com,1441
ASF,Air Schefferville,airschefferville@email.com,1442
ASG,African Star Airways (PTY) Ltd.,africanstarairways(pty)ltd.@email.com,1443
ASI,Aerosun International,aerosuninternational@email.com,1444
ASJ,Air Satellite,airsatellite@email.com,1445
ASM,Awesome Flight Services (PTY) Ltd.,awesomeflightservices(pty)ltd.@email.com,1446
ASN,Air and Sea Transport,airandseatransport@email.com,1447
ASO,Aero Slovakia,aeroslovakia@email.com,1448
ASP,Airsprint,airsprint@email.com,1449
ASQ,Atlantic Southeast Airlines,atlanticsoutheastairlines@email.com,1450
ASR,All Star Airlines,allstarairlines@email.com,1451
ASS,Air Class,airclass@email.com,1452
AST,Aerlineas Del Oeste,aerlineasdeloeste@email.com,1453
NRE,Aviones Are,avionesare@email.com,1454
NPL,Air Nepal International,airnepalinternational@email.com,1455
NPR,Air Napier,airnapier@email.com,1456
WAM,Air Taxi & Cargo,airtaxi&cargo@email.com,1457
WAP,Arrow Panama,arrowpanama@email.com,1458
ASV,Astravia-Bissau Air Transports Ltd.,astravia-bissauairtransportsltd.@email.com,1459
ASZ,Astrakhan Airlines,astrakhanairlines@email.com,1460
ATA,Air Transport Association,airtransportassociation@email.com,1461
ATB,Atlantair Ltd.,atlantairltd.@email.com,1462
ATC,Air Tanzania,airtanzania@email.com,1463
ATD,Aerotours Dominicana,aerotoursdominicana@email.com,1464
ATE,Atlantis Transportation Services,atlantistransportationservices@email.com,1465
ATG,Aerotrans Airline,aerotransairline@email.com,1466
XAC,Air Charter World,aircharterworld@email.com,1467
VBW,Air Burkina,airburkina@email.com,1468
ATH,Air Travel Corp.,airtravelcorp.@email.com,1469
ATI,Aero-Tropics Air Services,aero-tropicsairservices@email.com,1470
ATJ,Air Traffic GmbH,airtrafficgmbh@email.com,1471
ATK,AeroTACA,aerotaca@email.com,1472
ATL,Aerocentral,aerocentral@email.com,1473
ATM,Airlines Of Tasmania,airlinesoftasmania@email.com,1474
SPM,Air Saint Pierre,airsaintpierre@email.com,1475
ATN,Air Transport International,airtransportinternational@email.com,1476
ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,astralcolombia-aerotransportesespecialesltda.@email.com,1477
ATQ,Air Transport Schiphol,airtransportschiphol@email.com,1478
FEO,Aeroferinco,aeroferinco@email.com,1479
FES,Aero Taxis Y Servicios Alfe,aerotaxisyserviciosalfe@email.com,1480
FFA,Avialesookhrana,avialesookhrana@email.com,1481
FFB,Africair Service,africairservice@email.com,1482
ATR,Atlas Airlines,atlasairlines@email.com,1483
ATS,Air Transport Service,airtransportservice@email.com,1484
ATT,Aer Turas,aerturas@email.com,1485
ATU,Atlant Aerobatics Ltd.,atlantaerobaticsltd.@email.com,1486
ATV,Avanti Air,avantiair@email.com,1487
ATW,Aero Trades (Western) Ltd.,aerotrades(western)ltd.@email.com,1488
AUA,Austrian Airlines,austrianairlines@email.com,1489
WOW,Air Southwest,airsouthwest@email.com,1490
AUB,Augsburg Airways,augsburgairways@email.com,1491
CPV,Air Corporate,aircorporate@email.com,1492
TUP,Aviastar-Tu,aviastar-tu@email.com,1493
ABW,AirBridge Cargo,airbridgecargo@email.com,1494
TUR,ATUR,atur@email.com,1495
